epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.21,1.46953,3.04972,1.06759,0.01433,0.88205,0.2054,0.15327,0.73301,3.09332,0.80781,0.00038,0.00038,0.00038
2,191.425,0.85002,1.17147,0.83867,0.01225,0.75385,0.03893,0.02985,0.65897,3.21801,0.80148,0.000764556,0.000764556,0.000764556
3,280.59,0.76629,0.91972,0.82581,0.01275,0.78462,0.35713,0.29546,0.63958,2.75791,0.80318,0.00113327,0.00113327,0.00113327
4,366.037,0.63697,0.79321,0.8165,1,0.5429,0.74823,0.62675,0.56725,1.83056,0.78781,0.00148615,0.00148615,0.00148615
5,453.041,0.60527,0.72708,0.8124,0.96781,0.61664,0.73983,0.6466,0.50956,1.60736,0.78702,0.00182318,0.00182318,0.00182318
6,539.217,0.58787,0.67897,0.812,0.99327,0.75641,0.76619,0.69083,0.46367,0.78261,0.78476,0.001802,0.001802,0.001802
7,625.538,0.56974,0.6508,0.82208,0.99877,0.75897,0.78496,0.69015,0.46866,0.59372,0.77785,0.0017624,0.0017624,0.0017624
8,710.294,0.56501,0.60128,0.80218,0.98592,0.75897,0.79103,0.70273,0.4351,0.57798,0.77383,0.0017228,0.0017228,0.0017228
9,797.291,0.50871,0.57561,0.79951,0.99938,0.75897,0.77649,0.71294,0.38805,0.55907,0.77185,0.0016832,0.0016832,0.0016832
10,882.387,0.48689,0.563,0.79466,0.99907,0.75897,0.78062,0.70786,0.41964,0.53243,0.77374,0.0016436,0.0016436,0.0016436
11,968.413,0.47375,0.52283,0.79332,0.99933,0.75897,0.78078,0.7291,0.35119,0.49744,0.76476,0.001604,0.001604,0.001604
12,1053.52,0.4648,0.5085,0.79581,0.99935,0.75897,0.77295,0.72614,0.34677,0.47626,0.76494,0.0015644,0.0015644,0.0015644
13,1142.85,0.47257,0.49974,0.79288,0.99937,0.75897,0.77152,0.70973,0.39186,0.4438,0.7703,0.0015248,0.0015248,0.0015248
14,1230.84,0.4691,0.49852,0.79869,0.9995,0.75897,0.77521,0.72823,0.3473,0.43136,0.76216,0.0014852,0.0014852,0.0014852
15,1319.9,0.4581,0.46429,0.78442,0.99949,0.75897,0.77911,0.72272,0.37286,0.48613,0.76684,0.0014456,0.0014456,0.0014456
16,1409.43,0.46345,0.46053,0.79633,0.99948,0.75897,0.77816,0.72674,0.33676,0.42366,0.76,0.001406,0.001406,0.001406
17,1499.44,0.44372,0.4425,0.79679,0.99951,0.75897,0.77198,0.72297,0.3407,0.41845,0.76314,0.0013664,0.0013664,0.0013664
18,1586.82,0.42354,0.41906,0.79615,0.99949,0.75897,0.77085,0.73316,0.32043,0.39061,0.76235,0.0013268,0.0013268,0.0013268
19,1673.46,0.41904,0.41328,0.79936,1,0.76374,0.767,0.73163,0.30672,0.35995,0.7623,0.0012872,0.0012872,0.0012872
20,1758.16,0.39391,0.3946,0.78391,1,0.76372,0.77047,0.73951,0.28916,0.3453,0.75974,0.0012476,0.0012476,0.0012476
21,1846.27,0.36265,0.37303,0.78188,0.99327,0.7641,0.77098,0.74669,0.27391,0.3298,0.75788,0.001208,0.001208,0.001208
22,1934.93,0.37125,0.36767,0.78831,0.9929,0.7641,0.77134,0.73893,0.27747,0.32586,0.75794,0.0011684,0.0011684,0.0011684
23,2025.02,0.38161,0.37736,0.78496,1,0.76749,0.76694,0.73914,0.28601,0.33031,0.7566,0.0011288,0.0011288,0.0011288
24,2114.86,0.37342,0.36812,0.77455,1,0.76908,0.76674,0.74367,0.26621,0.31769,0.75714,0.0010892,0.0010892,0.0010892
25,2204,0.36698,0.35528,0.79594,0.99941,0.76923,0.77034,0.73973,0.2665,0.3058,0.75579,0.0010496,0.0010496,0.0010496
26,2292.48,0.38362,0.34956,0.78615,0.99927,0.76923,0.76709,0.7446,0.28049,0.30985,0.75803,0.00101,0.00101,0.00101
27,2380.6,0.394,0.36466,0.77978,0.99844,0.76923,0.76723,0.74748,0.2565,0.30111,0.75641,0.0009704,0.0009704,0.0009704
28,2470.08,0.35201,0.32672,0.78009,0.99885,0.76923,0.77258,0.74592,0.26629,0.29534,0.75536,0.0009308,0.0009308,0.0009308
29,2560.39,0.33637,0.32204,0.78029,0.99765,0.76923,0.77541,0.748,0.26739,0.27922,0.75543,0.0008912,0.0008912,0.0008912
30,2648.75,0.34802,0.32907,0.78577,0.99739,0.76923,0.76737,0.74856,0.2839,0.29965,0.75459,0.0008516,0.0008516,0.0008516
31,2738.77,0.36185,0.32148,0.78424,0.99733,0.76923,0.76734,0.74332,0.26365,0.2881,0.7528,0.000812,0.000812,0.000812
32,2828.75,0.35314,0.31892,0.77554,0.99902,0.76923,0.77145,0.73819,0.28333,0.28227,0.75546,0.0007724,0.0007724,0.0007724
33,2917.51,0.35065,0.31036,0.77769,0.99931,0.76923,0.76746,0.74526,0.24801,0.26777,0.75197,0.0007328,0.0007328,0.0007328
34,3007.49,0.34666,0.30593,0.77313,0.9995,0.76923,0.76754,0.74481,0.28782,0.27783,0.75461,0.0006932,0.0006932,0.0006932
35,3103.11,0.36214,0.31117,0.78191,0.99955,0.76923,0.76761,0.74912,0.24441,0.25667,0.7531,0.0006536,0.0006536,0.0006536
36,3198.69,0.35001,0.30489,0.77818,0.99951,0.76923,0.76746,0.75548,0.2374,0.26023,0.75197,0.000614,0.000614,0.000614
37,3285.48,0.33907,0.30392,0.777,0.99945,0.76923,0.77328,0.74654,0.25115,0.25325,0.7526,0.0005744,0.0005744,0.0005744
38,3372.28,0.30919,0.27819,0.78824,0.99966,0.76923,0.76766,0.75308,0.21733,0.24409,0.75049,0.0005348,0.0005348,0.0005348
39,3460.96,0.32084,0.28112,0.77468,0.99939,0.76923,0.76761,0.7483,0.24823,0.24783,0.75252,0.0004952,0.0004952,0.0004952
40,3543.88,0.30866,0.28217,0.77036,0.99936,0.76923,0.76757,0.74957,0.23125,0.24591,0.75114,0.0004556,0.0004556,0.0004556
41,3631.1,0.28125,0.29754,0.76867,1,0.76921,0.76757,0.75341,0.22031,0.25571,0.75089,0.000416,0.000416,0.000416
42,3716.62,0.28815,0.29399,0.76546,0.9991,0.76923,0.7678,0.75504,0.21817,0.24089,0.75136,0.0003764,0.0003764,0.0003764
43,3802.83,0.27471,0.2792,0.77583,0.99883,0.76923,0.76777,0.75271,0.22781,0.23474,0.75203,0.0003368,0.0003368,0.0003368
44,3888.41,0.27602,0.27577,0.77076,0.99838,0.76923,0.76766,0.75107,0.23041,0.2392,0.75357,0.0002972,0.0002972,0.0002972
45,3974.48,0.26014,0.27384,0.7706,0.99895,0.76923,0.7676,0.75497,0.22166,0.23422,0.75072,0.0002576,0.0002576,0.0002576
46,4059.17,0.25555,0.25359,0.76376,0.99867,0.76923,0.76762,0.75097,0.22295,0.22567,0.75098,0.000218,0.000218,0.000218
47,4144.97,0.27378,0.27,0.76423,0.99874,0.76923,0.76767,0.75349,0.21367,0.22677,0.75098,0.0001784,0.0001784,0.0001784
48,4230.36,0.25782,0.26009,0.76095,0.99873,0.76923,0.76769,0.75427,0.21134,0.22291,0.75084,0.0001388,0.0001388,0.0001388
49,4315.18,0.26093,0.25885,0.77201,0.99847,0.76923,0.76769,0.75203,0.21673,0.22475,0.75087,9.92e-05,9.92e-05,9.92e-05
50,4398.67,0.27015,0.26499,0.76916,0.99853,0.76923,0.7677,0.7509,0.21814,0.22218,0.75115,5.96e-05,5.96e-05,5.96e-05
